frame,seconds,phase,missing_marker_fraction,missing_card_fraction,failing
250,6.483478,114,0.0,0.19288891869537028,True
251,6.500256,59,0.46601941747572817,0.8621593105001719,True
252,6.516678,92,0.0,0.019972546328071328,False
253,6.533733,81,0.0,0.01913260877113787,False
254,6.549956,70,0.0,0.018272541991707025,False
255,6.567,58,0.5209489051094891,0.9161147902869757,True
256,6.583511,48,0.0,0.22313478062596004,True
257,6.600067,36,0.0,0.22616375954848444,True
258,6.6168,26,0.0,0.22875144558450822,True
259,6.633389,14,0.48737373737373735,0.8951256340613412,True
260,6.6504,4,0.0,0.014907417742555551,False
261,6.666756,300,0.0,0.014907417742555551,False
262,6.683356,290,0.0,0.01005837173579105,False
263,6.700111,265,0.5002777777777778,0.8119952210274791,True
264,6.716867,270,0.00010101010101004615,0.002396828257343664,False
265,6.733778,254,0.0,0.0071586228060857016,False
266,6.750567,242,0.0,0.0070655529537855255,False
267,6.767344,230,0.4271925754060325,0.8506583865217641,True
268,6.784356,220,0.0,0.0023439722364453353,False
269,6.801244,210,0.0,0.0002251871868490518,False
270,6.817722,198,0.0,0.00022331647293960533,False
271,6.834322,186,0.4862105263157894,0.90525240344354,True
272,6.850544,176,0.0,0.037218481671300485,True
273,6.867178,166,0.0,0.03571109547895801,True
274,6.883789,145,0.0,0.03669368795989236,True
275,6.900589,99,0.5001327433628319,0.8434161074587548,True
276,6.917889,145,0.0,0.20548046539152964,True
277,6.934589,145,0.0,0.20548046539152964,True
278,7.034589,145,0.0,0.20548046539152964,True
279,7.052467,145,0.0,0.20548046539152964,True
280,7.152467,145,0.0,0.20548046539152964,True
281,7.241267,134,0.0,0.20295698924731187,True
282,7.251889,57,0.8098536585365854,0.9259579397611833,True
283,7.267956,126,0.0,0.7133956386292835,True
284,7.284489,126,0.0,0.7133956386292835,True
285,7.301156,126,0.0,0.7133956386292835,True
286,7.317467,41,0.7380808080808081,0.9164081304353084,True
287,7.334211,100,0.0,0.15862483553377793,True
288,7.351233,90,0.0,0.1581436137285921,True
289,7.367922,78,0.0,0.15803316379850907,True
290,7.384667,25,0.445479797979798,0.7959606596952788,True
291,7.401556,56,0.0,0.010792832334189706,False
292,7.417867,46,0.0,0.010913557528084428,False
293,7.434733,36,0.0,0.006854230525957239,False
294,7.451533,24,0.495,0.8805890549472231,True
295,7.468111,18,0.0,0.033385112425741936,True
296,7.485467,4,0.0,0.033385112425741936,True
297,7.501689,296,0.0,0.03330827672395664,True
298,7.518256,284,0.5021212121212122,0.8694665153234961,True
299,7.535111,272,0.0,0.01152181242399064,False
300,7.5516,262,0.0,0.009423486824087002,False
301,7.568222,252,0.0,0.007382904050218464,False
302,7.584744,240,0.45757719714964373,0.8810345829700669,True
303,7.601311,230,0.0,0.0015439020182853591,False
304,7.618033,218,0.0,0.0015243383179480707,False
305,7.634844,206,0.0,0.0013244643277607882,False
306,7.651678,194,0.4088436830835118,0.8701973001038421,True
307,7.668178,184,0.0,0.0008807043401556358,False
308,7.684556,174,0.0,0.0008751214283321262,False
309,7.701256,162,0.0,0.0005289808952757546,False
310,7.7179,107,0.4347826086956522,0.812281146202781,True
311,7.734533,140,0.0,0.001182181578624153,False
312,7.7514,130,0.0,0.001182181578624153,False
313,7.768178,118,0.0,0.001182181578624153,False
314,7.784789,59,0.5034466019417476,0.8146672831383149,True
315,7.801667,96,0.0,0.0005182704574449026,False
316,7.818022,84,0.0,0.0005162905533250273,False
317,7.834711,75,0.0,0.0005213248057409636,False
318,7.851522,64,0.5298800959232615,0.9033702367477834,True
319,7.868311,52,0.0,0.0012783751493429252,False
320,7.884789,40,0.0,0.0012956504891988851,False
321,7.901489,28,0.0,0.001245887956007219,False
322,7.918133,16,0.39343434343434347,0.8581314878892734,True
323,7.934811,6,0.0,0.003571827212858536,False
324,7.951522,302,0.0,0.0015192667832470974,False
325,7.968267,290,0.0,0.0015069124423963132,False
326,7.9847,265,0.46530303030303033,0.7665262843488649,True
327,8.001578,268,0.0,0.0012376979417653144,False
328,8.018,258,0.0,0.0012240518784601973,False
329,8.035,246,0.0,0.0028227269004410527,False
330,8.051567,234,0.45330210772833723,0.867323839552799,True
331,8.068211,224,0.0,0.003005267788785626,False
332,8.0848,212,0.0,0.002967426011801999,False
333,8.101767,202,0.0,0.0029366116191560376,False
334,8.118389,190,0.4630148619957537,0.9034267912772586,True
335,8.135067,180,0.0,0.0010551703346397545,False
336,8.1518,168,0.0,0.0010551703346397545,False
337,8.168167,158,0.0,0.0010551703346397545,False
338,8.185244,103,0.4459868421052632,0.8107029386158316,True
339,8.202367,134,0.0,0.040811085429716676,True
340,8.218344,126,0.0,0.019104724259984995,False
341,8.2349,114,0.0,0.016710258645742493,False
342,8.2516,59,0.46601941747572817,0.7892822847387702,True
343,8.268622,92,0.0,0.0005419240448409912,False
344,8.2851,78,0.0,0.0004557699900137324,False
345,8.301789,68,0.0,0.00046074564492648573,False
346,8.318356,9,0.505050505050505,0.8062035693467773,True
347,8.335189,44,0.0,0.00037971936930425443,False
348,8.3519,34,0.0,0.00038402457757291675,False
349,8.368644,24,0.0,0.00038842852915066395,False
350,8.385444,12,0.5023232323232323,0.8902810333494562,True
351,8.402022,1,0.0,0.0009627190534657881,False
352,8.418911,296,0.0,0.0009605033594417556,False
353,8.435233,284,0.0,0.0009519973636996637,False
354,8.452078,274,0.47257575757575754,0.8685450683658569,True
355,8.468567,262,0.0,0.1537408161564201,True
356,8.485356,251,0.0,0.1497023599444719,True
357,8.501789,240,0.0,0.14575995350188897,True
358,8.518733,228,0.39147806004618935,0.8479303657291057,True
359,8.535433,218,0.0001580135440180097,0.00035766597404363054,False
360,8.553111,207,0.0,0.0003535591622331191,False
361,8.568478,196,0.0,0.00035172344487988116,False
362,8.585233,184,0.4733752620545073,0.8785660849272546,True
363,8.601667,174,0.0,0.1312361125068391,True
364,8.618611,164,0.0,0.12837626592525597,True
365,8.635278,154,0.0,0.12556666555008433,True
366,8.652044,91,0.4989639639639639,0.8316671819712116,True
367,8.670078,130,0.0,0.002469042753938777,False
368,8.685633,118,0.0,0.0016218358847240877,False
369,8.702056,108,0.0,0.0007788950375668957,False
370,8.718656,55,0.46982843137254904,0.7900427487824337,True
371,8.735533,86,0.0,0.00036264419423914784,False
372,8.752289,74,0.0,0.00036736407529214254,False
373,8.768944,62,0.0,0.0003722084367245859,False
374,8.785467,50,0.4235732009925558,0.8735691021864598,True
375,8.802889,40,0.0,0.00048435532306501106,False
376,8.818856,30,0.0,0.00024493594924923645,False
377,8.835556,18,0.0,0.0,False
378,8.8524,6,0.48250000000000004,0.8558246828143021,True
379,8.869056,0,0.00017676767676766403,0.041268246704121214,True
380,8.885578,290,0.0,0.03577880184331794,True
381,8.902344,280,0.0,0.0025211105036145876,False
382,8.918867,268,0.499520202020202,0.867898970283262,True
383,8.935589,258,9.925558312651184e-05,0.002999371673127804,False
384,8.952267,246,0.0,0.004551464307861464,False
385,8.969122,234,0.0,0.003936973770832575,False
386,8.986133,224,0.4383066361556064,0.8823089141041902,True
387,9.002722,219,0.00013574660633486335,0.00210990247561893,False
388,9.0192,204,0.0,0.001895147303995648,False
389,9.035867,194,0.0,0.0014710972654897736,False
390,9.052556,180,0.487941787941788,0.8940963498922498,True
391,9.069167,171,0.0,0.0011026250851393637,False
392,9.086067,157,0.0,0.0008667470605969729,False
393,9.103011,146,0.0,0.0008667470605969729,False
394,9.119589,91,0.43243243243243246,0.7864806989819872,True
395,9.136256,124,0.0,0.0,False
396,9.152633,114,0.0,0.0,False
397,9.1691,102,0.0,0.0,False
398,9.1858,41,0.5245454545454545,0.7895666267523012,True
399,9.2027,80,0.0,0.0,False
400,9.219456,68,0.0,0.0,False
401,9.235822,56,0.0,0.0,False
402,9.252511,46,0.4883709273182958,0.9105145413870246,True
403,9.269956,34,0.0,0.00038402457757291675,False
404,9.285878,24,0.0,0.00038842852915066395,False
405,9.302522,12,0.0,0.00039066860140635207,False
406,9.318944,300,0.3812121212121212,0.8033293646364301,True
407,9.335678,0,0.00017676767676766403,0.00483684935074602,False
408,9.353033,0,0.0,0.004815145539556753,False
409,9.453033,0,0.0,0.004815145539556753,False
410,9.470433,0,0.0,0.004815145539556753,False
411,9.570433,0,0.0,0.004253946993092006,False
412,9.670433,0,0.0,0.004253946993092006,False
413,9.675856,298,0.0,0.004053961875705392,False
414,9.689278,303,0.9197727272727273,1.0,True
415,9.703133,286,0.0,0.0,False
416,9.719322,286,0.0,0.0,False
417,9.735867,286,0.0,0.0,False
418,9.752733,274,0.7433080808080808,0.9833128175422082,True
419,9.769433,268,0.0,7.192433559899403e-05,False
420,9.785689,256,0.0,7.097483941942428e-05,False
